mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,expectimax,beam,True,,11,0.35,4,0.5,31.25,14.2215,13.5011,6.418,5954.5,,,
full,expectimax,beam,True,,13,0.15,5,0.4,43.4,9.5812,36.8495,11.218,17089,,,
full,expectimax,beam,True,,13,0.25,5,0.8,30.2,11.3004,18.7196,6.5812,8370.8,,,
full,expectimax,beam,True,,13,0.35,3,0,25,8.0,11.8552,5.3171,5287,,,
full,expectimax,beam,True,,17,0.15,5,0.4,43.8,8.8431,30.2997,15.2807,13884.8,,,
full,expectimax,beam,True,,17,0.25,5,0,41.8,11.8828,22.6838,9.4529,10291,,,
full,expectimax,beam,True,,17,0.35,5,0,50,0.0,18.2937,11.3006,7639.6,,,
full,expectimax,beam,True,,21,0.15,4,0.25,47.25,5.5,41.0278,1.9912,18672.75,,,
full,expectimax,beam,True,,21,0.25,4,0,45.5,9.0,30.2134,8.9654,13369,,,
full,expectimax,beam,True,,21,0.35,4,0,44,12.0,19.7442,10.4045,8500.25,,,
full,expectimax,greedy,False,,11,0.15,5,0.2,43.8,13.8636,30.8108,8.7554,12757.8,,,
full,expectimax,greedy,False,,11,0.25,5,0.4,39.4,14.8593,21.5611,4.9094,10000,,,
full,expectimax,greedy,False,,11,0.35,5,0.2,43.8,13.8636,16.3456,6.1667,7293.6,,,
full,expectimax,greedy,False,,13,0.15,5,0.4,32.8,16.331,19.8379,12.5595,9212.4,,,
full,expectimax,greedy,False,,13,0.25,5,0.4,39.6,14.2583,19.6008,6.4928,8315,,,
full,expectimax,greedy,False,,13,0.35,5,0,43.4,14.758,19.9625,13.988,8959,,,
full,expectimax,greedy,False,,17,0.15,5,0.4,42.8,9.8843,23.7158,11.3567,10657.6,,,
full,expectimax,greedy,False,,17,0.25,5,0,50,0.0,16.6305,2.8172,7171.8,,,
full,expectimax,greedy,False,,17,0.35,5,0,50,0.0,16.1842,7.3885,6816.6,,,
full,expectimax,greedy,False,,21,0.15,5,0,50,0.0,29.6962,14.2303,13549.2,,,
full,expectimax,greedy,False,,21,0.25,5,0,50,0.0,31.4557,12.9408,12841.2,,,
full,expectimax,greedy,False,,21,0.35,5,0,50,0.0,16.6715,4.8043,6877.2,,,
full,expectimax,greedy,True,,11,0.15,5,0.4,37.6,16.9794,26.5079,10.4531,12138.2,,,
full,expectimax,greedy,True,,11,0.25,5,0.6,35.4,14.0996,20.9798,5.5773,9650.4,,,
full,expectimax,greedy,True,,11,0.35,5,0.4,41.8,13.4611,18.9547,8.0073,7956.2,,,
full,expectimax,greedy,True,,13,0.15,5,0.2,45,11.1803,32.8579,15.635,14822.4,,,
full,expectimax,greedy,True,,13,0.25,5,0.6,34.2,14.4465,20.6634,10.7277,9249.2,,,
full,expectimax,greedy,True,,13,0.35,5,0,43.4,14.758,16.6363,7.9863,7425.4,,,
full,expectimax,greedy,True,,17,0.15,5,0.4,42.8,9.8843,24.1593,11.7419,10885.2,,,
full,expectimax,greedy,True,,17,0.25,5,0,50,0.0,19.9723,4.7492,8701.4,,,
full,expectimax,greedy,True,,17,0.35,5,0,50,0.0,15.4218,7.0642,6416.2,,,
full,expectimax,greedy,True,,21,0.15,5,0,50,0.0,34.7801,11.9459,15608,,,
full,expectimax,greedy,True,,21,0.25,5,0,50,0.0,30.7888,10.3717,13291,,,
full,expectimax,greedy,True,,21,0.35,5,0,48.8,2.6833,19.6331,4.8668,8539,,,
